,mean,var,scale
0,4.139315,2.438287,1.5615015
1,2.2805037,0.93016547,0.96445084
2,0.034670252,0.40112734,0.63334614
3,0.91321105,0.13580486,0.3685171
4,-0.049458303,0.13047706,0.36121607
5,0.6242986,0.1496421,0.386836
6,0.017111324,0.1100779,0.3317799
7,0.25878936,0.08235648,0.2869782
8,-0.06030122,0.05949915,0.24392447
9,0.27568936,0.046755824,0.21623094
10,-0.123811305,0.056875177,0.23848517
11,0.03803831,0.037138093,0.19271246
12,0.043210134,0.039347507,0.19836207
13,-0.08572868,0.04381464,0.20931947
14,-0.0712358,0.030556764,0.17480493
15,0.0016250643,0.026940443,0.16413544
16,-0.10563946,0.023992846,0.15489624
17,0.08325018,0.0238797,0.15453058
18,-0.01972184,0.020278899,0.142404
19,-0.07171466,0.018593881,0.13635938
20,-0.029476624,0.018179908,0.13483289
21,0.0628751,0.017105155,0.13078667
22,-0.10185167,0.016341899,0.12783544
23,0.08345177,0.01443042,0.12012668
24,-0.014256594,0.013689078,0.117000334
25,-0.0029751055,0.0117017655,0.1081747
26,0.041017223,0.013084413,0.11438712
27,-0.015940923,0.011256877,0.106098436
28,-0.020280223,0.009600514,0.09798221
29,0.031196672,0.009726463,0.09862283
30,-0.031658262,0.008934518,0.09452258
31,0.022036884,0.0081999935,0.09055381
32,-0.004395414,0.007445418,0.086286835
33,-0.027193556,0.0072411704,0.08509507
34,0.029441755,0.0070487377,0.08395676
35,-0.029846659,0.006678747,0.0817236
36,0.00988223,0.0061473185,0.07840484
37,0.0011649233,0.005705134,0.07553234
38,-0.015455397,0.0056726662,0.07531711
39,0.0065655103,0.0053722225,0.073295444
40,-0.0074318624,0.0052713105,0.07260379
41,-0.005342158,0.004905001,0.07003571
42,0.01079697,0.0046448205,0.06815292
43,-0.02119995,0.0044799787,0.06693264
44,0.027786575,0.00419916,0.064800926
45,-0.029603157,0.0039725816,0.06302842
46,0.016270395,0.003815428,0.06176915
47,0.00028107403,0.0036779586,0.060646176
48,-0.012789448,0.003549799,0.059580192
49,0.012737865,0.0033496092,0.05787581
50,-0.0063277544,0.0032402484,0.05692318
51,0.0014580309,0.0031456451,0.056086052
52,0.003237708,0.0030277008,0.055024546
53,-0.0046551996,0.0028783816,0.05365055
54,0.005444844,0.002777181,0.052698966
55,-0.0033377365,0.0027305968,0.052255113
56,0.00428666,0.0026588747,0.051564276
57,-0.0019164028,0.0025665916,0.05066154
58,-0.0018067318,0.0024735304,0.0497346
59,0.0061918427,0.0024102025,0.049093813
60,0.00025720944,0.15112261,0.38874492
61,0.0002654101,0.04251819,0.2061994
62,6.2799096e-05,0.032440152,0.1801115
63,6.813222e-05,0.014930365,0.12218987
64,-0.00013183395,0.014441609,0.120173246
65,-0.00019647049,0.010829969,0.10406714
66,-0.00010569848,0.011906477,0.1091168
67,-0.0001556677,0.008476002,0.09206521
68,-0.0001168359,0.007749228,0.0880297
69,6.321793e-05,0.0065087834,0.08067703
70,4.532533e-05,0.0068545607,0.082792275
